alphaName,timeCost  s
1,55.4786319732666
2,1.7702686786651611
3,1.7871625423431396
4,173.82607007026672
5,0.5142631530761719
6,1.6122708320617676
7,187.70133709907532
8,1.0468714237213135
9,0.516669511795044
10,0.6899755001068115
11,0.7887811660766602
12,0.02816319465637207
13,1.8606712818145752
14,1.7256314754486084
15,2.191636323928833
16,1.8213181495666504
17,349.70000886917114
18,1.8749327659606934
19,0.35434556007385254
20,0.4539988040924072
21,1.8844258785247803
22,1.8780772686004639
23,error
24,0.49999332427978516
25,0.38800501823425293
26,367.7996802330017
27,2.123426914215088
28,1.6975717544555664
29,179.2279908657074
30,0.6116611957550049
31,error
32,1.6952934265136719
33,0.14497590065002441
34,1.0423545837402344
35,512.12744140625
36,198.26627683639526
37,1.8815348148345947
38,169.97652554512024
39,error
40,1.7458248138427734
41,0.010959386825561523
42,0.24159884452819824
43,305.73873805999756
44,1.4979064464569092
45,3.587416410446167
46,0.07658243179321289
47,0.8568320274353027
48,no function
49,0.05563235282897949
50,1.9796409606933594
51,0.05599832534790039
52,167.38557958602905
53,0.028004169464111328
54,0.09303927421569824
55,2.361882448196411
56,no function
57,error
58,no function
59,no function
60,57.734872341156006
61,1.955719232559204
62,2.5712857246398926
63,no function
64,2.2965641021728516
65,2.2076199054718018
66,error
67,no function
68,149.51021790504456
69,no function
70,no function
71,error
72,error
73,error
74,4.748799800872803
75,4.360551357269287
76,no function
77,error
78,4.338811159133911
79,no function
80,no function
81,61.02074480056763
82,no function
83,1.0892667770385742
84,202.07479405403137
85,434.6399064064026
86,176.87878346443176
87,no function
88,error
89,no function
90,no function
91,no function
92,error
93,no function
94,529.3198156356812
95,163.5384624004364
96,error
97,no function
98,error
99,4.9950642585754395
100,no function
101,0.015186309814453125
